direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl,capital_after
SHORT,2024-02-09 08:15:00+00:00,0.08142,2024-02-09 08:30:00+00:00,0.08154213,SL,-0.15,-14.6213,9732.89
SHORT,2024-02-26 17:00:00+00:00,0.08702,2024-02-26 17:15:00+00:00,0.08715053,SL,-0.15,-14.5993,9718.2907
SHORT,2024-02-28 17:30:00+00:00,0.11044,2024-02-28 17:45:00+00:00,0.11060566,SL,-0.15,-14.5774,9703.7133
LONG,2024-03-12 17:45:00+00:00,0.16542,2024-03-12 18:00:00+00:00,0.16517187,SL,-0.15,-14.5556,9689.1577
SHORT,2024-03-14 04:30:00+00:00,0.1819,2024-03-14 04:45:00+00:00,0.18217285,SL,-0.15,-14.5337,9674.624
SHORT,2024-03-20 20:45:00+00:00,0.14715,2024-03-20 21:00:00+00:00,0.14737072,SL,-0.15,-14.5119,9660.112
SHORT,2024-03-23 02:30:00+00:00,0.15889,2024-03-23 02:45:00+00:00,0.15912834,SL,-0.15,-14.4902,9645.6219
SHORT,2024-04-07 03:00:00+00:00,0.19503,2024-04-07 03:15:00+00:00,0.19532254,SL,-0.15,-14.4684,9631.1534
LONG,2024-04-13 21:45:00+00:00,0.14357,2024-04-13 22:00:00+00:00,0.14335464,SL,-0.15,-14.4467,9616.7067
SHORT,2024-04-20 18:00:00+00:00,0.16277,2024-04-20 18:15:00+00:00,0.16228169,TP,0.3,28.8501,9645.5568
LONG,2024-04-29 00:00:00+00:00,0.14726,2024-04-29 00:30:00+00:00,0.14703911,SL,-0.15,-14.4683,9631.0885
LONG,2024-05-01 08:45:00+00:00,0.12432,2024-05-01 09:00:00+00:00,0.12413352,SL,-0.15,-14.4466,9616.6419
SHORT,2024-05-02 11:45:00+00:00,0.13185,2024-05-02 12:00:00+00:00,0.13204778,SL,-0.15,-14.425,9602.2169
SHORT,2024-05-04 13:30:00+00:00,0.16226,2024-05-04 13:45:00+00:00,0.16250339,SL,-0.15,-14.4033,9587.8136
LONG,2024-05-13 03:30:00+00:00,0.13679,2024-05-13 03:45:00+00:00,0.13658482,SL,-0.15,-14.3817,9573.4318
LONG,2024-05-30 08:30:00+00:00,0.15847,2024-05-30 08:45:00+00:00,0.1582323,SL,-0.15,-14.3601,9559.0717
SHORT,2024-06-04 17:00:00+00:00,0.16063,2024-06-04 17:15:00+00:00,0.16087095,SL,-0.15,-14.3386,9544.7331
LONG,2024-06-07 18:30:00+00:00,0.14759,2024-06-07 18:45:00+00:00,0.14736862,SL,-0.15,-14.3171,9530.416
SHORT,2024-06-12 15:00:00+00:00,0.14793,2024-06-12 15:15:00+00:00,0.1481519,SL,-0.15,-14.2956,9516.1204
SHORT,2024-06-20 11:30:00+00:00,0.1271,2024-06-20 11:45:00+00:00,0.1267187,TP,0.3,28.5484,9544.6687
SHORT,2024-06-25 04:00:00+00:00,0.12245,2024-06-25 04:15:00+00:00,0.12263368,SL,-0.15,-14.317,9530.3517
LONG,2024-07-04 13:45:00+00:00,0.10796,2024-07-04 14:00:00+00:00,0.10779806,SL,-0.15,-14.2955,9516.0562
SHORT,2024-07-11 13:00:00+00:00,0.11072,2024-07-11 13:15:00+00:00,0.11088608,SL,-0.15,-14.2741,9501.7821
SHORT,2024-07-21 21:00:00+00:00,0.13929,2024-07-21 21:15:00+00:00,0.13949894,SL,-0.15,-14.2527,9487.5294
LONG,2024-07-25 01:45:00+00:00,0.12447,2024-07-25 02:00:00+00:00,0.1242833,SL,-0.15,-14.2313,9473.2981
LONG,2024-08-05 01:30:00+00:00,0.09443,2024-08-05 01:45:00+00:00,0.09428836,SL,-0.15,-14.2099,9459.0882
LONG,2024-08-27 22:45:00+00:00,0.09869,2024-08-27 23:00:00+00:00,0.09854196,SL,-0.15,-14.1886,9444.8996
LONG,2024-09-04 01:30:00+00:00,0.09473,2024-09-04 01:45:00+00:00,0.09501419,TP,0.3,28.3347,9473.2343
LONG,2024-09-06 20:00:00+00:00,0.09128,2024-09-06 20:15:00+00:00,0.09114308,SL,-0.15,-14.2099,9459.0244
SHORT,2024-09-09 17:15:00+00:00,0.10336,2024-09-09 17:30:00+00:00,0.10304992,TP,0.3,28.3771,9487.4015
LONG,2024-09-11 05:45:00+00:00,0.09988,2024-09-11 06:00:00+00:00,0.09973018,SL,-0.15,-14.2311,9473.1704
SHORT,2024-09-21 15:00:00+00:00,0.10786,2024-09-21 15:15:00+00:00,0.10802179,SL,-0.15,-14.2098,9458.9606
SHORT,2024-09-26 07:45:00+00:00,0.11342,2024-09-26 08:00:00+00:00,0.11359013,SL,-0.15,-14.1884,9444.7722
LONG,2024-10-01 15:30:00+00:00,0.11147,2024-10-01 15:45:00+00:00,0.1113028,SL,-0.15,-14.1672,9430.605
LONG,2024-10-01 17:45:00+00:00,0.10781,2024-10-01 18:00:00+00:00,0.10764829,SL,-0.15,-14.1459,9416.4591
